4	2	Гофра	<p><img alt="Гофра (на фотографии - золотистая) на BMW 5 series при снятом глушителе." src="/ckeditor_assets/pictures/108/content_img_8273.jpg" style="height:435px; width:650px" /></p>\r\n\r\n<p>&nbsp;\r\n<p>Гофра &ndash; это гибкий элемент выпускной системы автомобиля, который соединяет выпускной коллектор и выпускной тракт (трубу). Выглядит как толстый, короткий армированный металлический шланг. Материал гофры выдерживает нагрев до 800-900 градусов.</p>\r\n</p>\r\n\r\n<p>Этот элемент необходим, так как глушитель постоянно вибрирует, и жесткое соединение коллектора с трубой от постоянной тряски постепенно разрушается. Глушители с гофрой сохраняются дольше, однако со временем изнашивается и она. Когда в гофре появляются дырки, сквозь них начинает &laquo;рычать&raquo; двигатель.</p>\r\n\r\n<p>Повсеместно гофра стала использоваться в автомобильных глушителях в 2000-х годах. На более старых автомобилях чаще встречаются более жесткие соединения труб с графитовыми или асбестовыми прокладками.</p>\r\n\r\n<iframe width="560" height="315" src="//www.youtube.com/embed/GSyWE9Zbxsg" frameborder="0" allowfullscreen></iframe>	2014-04-01 10:27:19.680323	2014-12-14 18:12:08.321593	t
2	1	Выпускная система (глушитель)	<p><img alt="Демонтаж выхлопной системы на BMW 5 series" src="/ckeditor_assets/pictures/107/content_img_8207.jpg" style="height:433px; line-height:20.7999992370605px; width:650px" /></p>\r\n\r\n<p>&nbsp;</p>\r\n\r\n<p>У современных автомобилей система выпуска отработавших газов имеет достаточно сложную структуру. Иногда ее называют &laquo;глушителем&raquo;, но это неграмотно. Глушитель &ndash; это часть выпускной системы, которая непосредственно гасит звуковые колебания двигателя. А в целом же выпуск состоит из следующих элементов:</p>\r\n\r\n<p>- Выпускной коллектор</p>\r\n\r\n<p>- Глушитель (один или несколько), а также его варианты &ndash; пламегаситель или резонатор</p>\r\n\r\n<p>- Каталитический нейтрализатор (на автомобилях с середины 90-х)</p>\r\n\r\n<p>- Лямбда-зонд (на автомобилях с нейтрализатором)</p>\r\n\r\n<p>- Сажевый фильтр (на дизельных автомобилях, отвечающих нормам Евро-5)</p>\r\n\r\n<p>- Система впрыска мочевины (на современных дизельных грузовиках, отвечающих нормам Евро-5)</p>\r\n\r\n<p>- Выхлопная труба (одна или несколько)</p>\r\n\r\n<p>- Гофра</p>\r\n\r\n<p>- Подушки (подвески)</p>\r\n\r\n<p>- Тепловой экран</p>\r\n\r\n<p><img alt="Система выпуска отработавших газов: 1 — выпускной коллектор; 2 — уплотнительная прокладка коллектора; 3 — теплозащитный экран; 4 — прокладка фланца трубы основного глушителя; 5 — управляющий датчик концентрации кислорода; 6 — кронштейн каталитического нейтрализатора; 7 — основной глушитель; 8 — хомут крепления насадки основного глушителя; 9 — насадка основного глушителя; 10 — второй дополнительный глушитель; 11 — диагностический датчик концентрации кислорода; 12 — уплотнительная прокладка фланцев первого и второго дополнительных глушителей; 13 — промежуточная труба с металлокомпенсатором и первым дополнительным глушителем; 14 — уплотнительная прокладка фланцев каталитического нейтрализатора; 15 — каталитический нейтрализатор. Изображение из книги &quot;Эксплуатация Chevrolet Lacetti/Daewoo Gentra&quot;" src="/ckeditor_assets/pictures/116/content_vyhlop-sistem.jpg" style="height:514px; line-height:20.7999992370605px; width:650px" /></p>\r\n	2014-03-22 07:35:58.791076	2014-12-21 14:31:44.2006	t
3	2	Сажевый фильтр	<p>Сажа &ndash; это мельчайшие частицы от 10 нанометров до 1 микрометра в диаметре, которые выбрасывают в атмосферу дизельные двигатели. Основная составляющая сажи &ndash; это не успевший сгореть в цилиндрах углерод, &laquo;обросший&raquo; остатками углеводородов, оксидов металлов, серы и воды. Эта угольная пыль крайне вредна для здоровья, так как оседает в легких человека и провоцирует развитие астмы и прочих неприятных болезней.</p>\r\n\r\n<p><img alt="Снятый сажевый фильтр вместе с корпусом, BMW 5 series" src="/ckeditor_assets/pictures/110/content_img_8209.jpg" style="height:434px; line-height:20.7999992370605px; width:650px" /></p>\r\n\r\n<p>Специальные фильтры для очистки выхлопа от сажи начали применять в 2000 году, а после вступления в силу экологических норм Евро-5 в 2008 году все дизельные автомобили в Европе стали оснащаться сажевыми фильтрами в обязательном порядке. В России стандарт вступил в силу с 1 января 2014 года, поэтому теперь и у нас все ввозимые и производимые дизельные машины без вариантов должны иметь сажевый фильтр.</p>\r\n\r\n<p><img alt="Схема работы сажевого фильтра. Изображение с сайта dieselgrossisten.no" src="/ckeditor_assets/pictures/111/content_particulate-filter-large.jpg" style="height:340px; line-height:20.7999992370605px; width:650px" /></p>\r\n\r\n<p>Стенки этих каналов &ndash; пористые, и выхлоп проходит через них, оставляя частички сажи на поверхности стенок и внутри их. Чтобы заставить выхлоп проходить сквозь стенки, на концах каналов ставятся непроницаемые заглушки. Через один каналы &laquo;затыкаются&raquo; со стороны входа газов и со стороны выхода. Таким образом, газ принудительно вынужден циркулировать сквозь пористые стенки, чтобы попасть в атмосферу.Фильтр располагается на выпускном тракте, либо сразу после коллектора перед катализатором, либо после катализатора.</p>\r\n\r\n<p><iframe frameborder="0" height="315" src="//www.youtube.com/embed/1XcKDTwXheA" width="420"></iframe></p>\r\n\r\n<p>Принципиальное устройство сажевого фильтра достаточно простое: металлический корпус, внутри которого находится керамическая сотовая матрица из карбида кремния или кордиерита. В этом керамическом монолите есть десятки тонких каналов, расположенных параллельно друг другу &ndash; через них, собственно, и проходит выхлоп.</p>\r\n\r\n<p>Разумеется, чем больше сажи оседает на стенках, тем труднее выхлопным газам проходить сквозь сажевый фильтр. Поэтому отложения периодически надо из фильтра убирать. Единственный способ это сделать &ndash; дожечь сажу. Этот процесс называется регенерация сажевого фильтра &ndash; о различных технологиях регенерации существует отдельная подробная статья.</p>\r\n\r\n<p><img alt="Полностью забитые соты сажевого фильтра" src="/ckeditor_assets/pictures/109/content_img_8238.jpg" style="height:434px; line-height:20.7999992370605px; width:650px" /></p>\r\n\r\n<p>В любом случае, даже с учетом регулярной регенерации, сажевый фильтр со временем забивается безвозвратно. Выхлопные газы выходят с трудом, в выпускном коллекторе создается избыточное давление, которое гонит выхлоп в цилиндры. Поэтому на первой стадии износа мотор теряет в мощности, а когда фильтр забивается полностью, то перестает даже заводиться. При условии использования качественной солярки и регулярной регенерации ресурс сажевого фильтра составляет около 150-180 тысяч километров. В российских условиях он забивается намного быстрее, а точный ресурс зависит от конкретного топлива.Работу сажевого фильтра контролируют датчики: они замеряют температуру и давление на входе и на выходе. Соответственно, если давление газов падает очень сильно, значит фильтр сильно забит и нужна регенерация или замена &ndash; электронный блок управления двигателем выдает водителю соответствующее сообщение. Если температурные датчики выявляют, что выхлоп слишком слабо охлаждается, то система также выдает сообщение о неисправности фильтра.</p>\r\n\r\n<p>Поскольку сам по себе сажевый фильтр стоит достаточно дорого, и забивается быстро, в российских условиях его проще всего удалить. Металлический корпус снимается с выхлопной трубы а керамические соты выпрессовываются или выбиваются зубилом и молотком. Пустой корпус ставят обратно, а в прошивке двигателя отключают датчики температуры и давления, которые в противном случае &laquo;заметят&raquo; отсутствие сажевого фильтра и включат аварийный режим, ограничив мощность двигателя.</p>\r\n\r\n<p><iframe frameborder="0" height="315" src="//www.youtube.com/embed/8hkbOH34XgI" width="560"></iframe></p>\r\n\r\n<p>Окружающая среда, конечно, в этом случае страдает, но большинство автовладельцев вполне объяснимо больше интересует содержимое собственного кошелька, чем абстрактная экология.&nbsp;</p>\r\n	2014-03-22 07:36:32.171558	2014-12-14 18:31:22.316786	t
6	5	Фрикционное сцепление	<p><img alt="Фрикционное сцепление. Изображение узла и схема" src="/ckeditor_assets/pictures/9/content_frict_scepl.jpg" style="height:500px; margin-left:50px; margin-right:50px; width:600px" /></p>\r\n\r\n<p>Фрикционное сцепление работает за счет трения дисков. Задача сцепления как такового &ndash; это &laquo;включить или выключить&raquo; передачу крутящего момента с двигателя на коробку передач. Выжимая педаль сцепления, мы разъединяем трущиеся диски и момент не передается. Отпускаем педаль &ndash; и момент начал передаваться. Плавно отпускать педаль нужно для того, чтобы диски не ударялись друг о друга и аккуратно, без толчков, вошли в зацеп.</p>\r\n\r\n<p>Теперь давайте разбираться в конструкции. Функцию ведущего диска сцепления выполняет маховик, закрепленный на коленвале. Он вращается всегда, пока включен двигатель. Его рабочая поверхность &ndash; гладкий металл (если, конечно, он не поврежден).</p>\r\n\r\n<p>К маховику со стороны коробки передач привинчивается так называемая корзина сцепления &ndash; металлический кожух с подпружиненным нажимным диском внутри (он тоже металлический и гладкий).&nbsp; Вся эта конструкция также всё время вращается при запущенном моторе.</p>\r\n\r\n<p>Между нажимным диском корзины и ведущим диском (маховиком) располагается ведомый диск сцепления. Вот он, для лучшего сцепления со стальными поверхностями, снабжен фрикционными накладками, которые еще иногда называют &laquo;феродо&raquo;. Ведомый диск закреплен на первичном валу коробки передач. Соответственно, когда его прижимают к ведущему, он крутит вал и приводит в движение всю коробку.</p>\r\n\r\n<p>Для того чтобы сжать вместе все три диска (ведущий, ведомый и нажимной), используется нажимной подшипник &ndash; деталь, которая, как и ведомый диск, располагается на первичном валу, а точнее &ndash; на его защитном кожухе. Почему на кожухе? А потому, что выжимной подшипник не вращается. Его задача &ndash; прижиматься к лепесткам диафрагменной пружины нажимного диска и, соответственно, прижимать всю эту конструкцию к ведомому диску и толкать полученный &laquo;слоеный пирог&raquo; к ведущему диску.</p>\r\n\r\n<p>Нажимной подшипник в действие приводит педаль сцепления. Когда педаль отпущена, подшипник нажат и &laquo;пирог из дисков&raquo; слеплен воедино. Нажимая педаль, мы убираем подшипник от корзины, и пружины убирают нажимной диск от ведомого. Система &laquo;расслабляется&raquo;.</p>\r\n\r\n<p>Последнее, что осталось понять &ndash; это каким образом усилие от педали передается на подшипник. Непосредственно на сам подшипник давит вилка сцепления. Ну а вилку в движение приводит система привода сцепления, о которой мы рассказываем в отдельной статье.</p>\r\n\r\n<p>Самая простая конструкция фрикционного сцепления &ndash; однодисковая. Она так называется по числу ведомых дисков. Для очень мощных автомобилей (грузовиков или с очень &laquo;моментным&raquo; двигателем) применяют не однодисковое, а многодисковое сцепление. Конструкция отличается тем, что в корпусе корзины между маховиком и нажимным диском располагается не один, а несколько ведомых дисков (чаще всего два). В итоге получается больше поверхностей трения. Подобная система нужна для того, чтобы &laquo;переварить&raquo; большой момент и мощность.</p>\r\n\r\n<p>Остались вопросы? Смотрите простое и доходчивое&nbsp;видео от Михаила Нестерова.</p>\r\n\r\n<p><iframe frameborder="0" height="315" src="//www.youtube.com/embed/MJX5ifznz3E" width="420"></iframe></p>\r\n\r\n<p>&nbsp;</p>\r\n	2014-04-01 10:30:59.007519	2014-11-23 15:54:59.519247	t
7	6	Диск сцепления (ведомый)	<p><img alt="Ведомый диск сцепления Exedy для Mitsubishi Colt/Lancer" src="/ckeditor_assets/pictures/10/content_vedomyi_disc.jpg" style="height:398px; width:597px" /></p>\r\n\r\n<p>В простейшем фрикционном сцеплении, которое называется однодисковым, на самом деле дисков три &ndash; ведущий, ведомый и нажимной. Но когда говорят &laquo;диск сцепления&raquo;, то имеют в виду ведомый - тот, который располагается внутри корпуса корзины между ведущим и нажимным. Тот, который обеспечивает трение во всей этой системе. А попутно еще и гасит крутильные колебания&hellip;</p>\r\n\r\n<p>Диск сцепление состоит из металлической основы (ее разберем позже), на которую наклёпаны с двух сторон фрикционные накладки, которые еще называют иногда &laquo;феродо&raquo;. Заклёпки (обычно из меди или алюминия) сделаны &laquo;заподлицо&raquo; с поверхностью, пока фрикционный слой достаточно толстый. Это нужно иметь в виду, и не &laquo;укатывать&raquo; диски до победного конца. Потому что заклёпки, когда слой стирается, будут скрести по нажимному диску корзины и по маховику. Гибель диска корзины &ndash; не смертельно, тем более что вся она целиком обычно меняется вместе с диском. А вот задиры на маховике &ndash; это может быть очень обременительно для кошелька. Особенно если маховик дорогой, двухмассовый.</p>\r\n\r\n<p>Теперь разберем конструкцию металлической основы диска сцепления &ndash; она не так проста, как кажется на первый взгляд. Фрикционные накладки приклёпаны по кругу к достаточно тонким гибким металлическим лепесткам, которые пружинят и обеспечивают мягкое включение сцепления.</p>\r\n\r\n<p><img alt="Общая схема диска сцепления: 1 и 7 - диски; 2 и 5 - фрикционные кольца; 3 - ступица; 4 - пружина; 6 - штифт. Иллюстрация из книги &quot;Учебник военного водителя 2-го класса&quot; Вокрачко Ю.Г." src="/ckeditor_assets/pictures/11/content_vedomyi_disc_scheme.jpg" style="height:420px; width:558px" /></p>\r\n\r\n<p>Лепестки, в свою очередь, приклёпаны к металлическому диску. Этот диск, в свою очередь, приклепан к другому диску, а между ними с минимальным зазором находится ступица диска, закрепленная на первичном валу коробки передач. Обратите внимание &ndash; жесткой связи между диском с лепестками и ступицей нет! Да и ступица закреплена на валу не жестко &ndash; она может перемещаться вдоль вала, иначе диск нельзя было бы прижимать и отжимать.</p>\r\n\r\n<p>А связаны между собой они при помощи пружин, закрепленных внутри прямоугольных &laquo;окон&raquo; одинакового размера, выпиленных в ступице, диске с лепестками и третьем, фиксирующем диске. Эти пружины нужны для того, чтобы гасить крутильные колебания. Поэтому их называют демпферными. О том, откуда эти самые крутильные колебания возникают и для чего их нужно гасить, читайте в статье про маховик.</p>\r\n\r\n<p>Дополнительно в зазоре между ступицей диска сцепления и двумя другими дисками находятся тонкие фрикционные накладки. Они обеспечивают трение между тремя дисками, чтобы они не проскальзывали друг относительно друга.</p>\r\n\r\n<p><img alt="Более подробная схема ведомого диска сцепления: 1 — фрикционная накладка; 2 — заклепка; 3 — пластинчатая волнистая пружина; 4 — балансировочный груз; 5 — диск; 6 — фрикционная шайба; 7 — стойка; 8 — ступица; 9 — фрикционная шайба; 10 — регулировочная стальная шайба; 11 — пружина ступицы; 13 — фрикционная накладка; 14 и 15 — заклепка крепления фрикционных накладок. Иллюстрация из книги &quot;ГАЗ М-20 &quot;Победа&quot;: описание конструкции и уход&quot;  А. А. Липгарта и Г. М. Вассермана. (с тех пор принципиальная конструкция диска не изменилась)" src="/ckeditor_assets/pictures/12/content_vedomyi_disc_scheme_2.jpg" style="height:330px; width:600px" /></p>\r\n\r\n<p>На большинстве дисков сцепления демпферные пружины видны снаружи, но есть такие модели, где они защищены корпусом, чтобы не вываливались.</p>\r\n\r\n<p>Также есть диски сцепления без демпферных пружин, потому что на ряде автомобилей с задачей гашения крутильных колебаний прекрасно справляются двухмассовые маховики, и ведомому диску остается лишь функция передачи крутящего момента.</p>\r\n	2014-04-01 10:32:00.76835	2014-11-23 17:52:25.280976	t
8	6	Маховик (ведущий диск сцепления)	<p><img alt="Схема, из которой понятно, как маховик располагается на коленчатом валу. Изображение с сайта howcarworks.ru" src="/ckeditor_assets/pictures/13/content_mahovik-scheme.jpg" style="height:304px; width:408px" /></p>\r\n\r\n<p>Маховик - это деталь, находящаяся обычно на заднем конце коленвала двигателя, которая выполняет в автомобиле три важнейшие функции:</p>\r\n\r\n<p>- Является шестерней, которая при запуске двигателя передает крутящий момент от стартера на коленвал и раскручивает его.</p>\r\n\r\n<p>- Передает крутящий момент от работающего двигателя на трансмиссию, выступая ведущим диском сцепления.</p>\r\n\r\n<p>- Превращает неравномерное вращение коленвала в равномерное, то есть гасит рывки, передаваемые движущимися поршнями, накапливая и затем отдавая кинетическую энергию.</p>\r\n\r\n<p><img alt="Маховик для ВАЗ-2110, облегченный. Снижает потери мощности, но меньше гасит вибрации, передаваемые двигателем на коробку передач. Изображение с сайта ClubTurbo.ru" src="/ckeditor_assets/pictures/14/content_maxovik_2110_legk.jpg" style="height:450px; width:600px" /></p>\r\n\r\n<p>Классические маховики (по состоянию на 2014 год они используются достаточно широко и в ряде новых моделей) - тяжелые чугунные диски с напрессованным по внешнему диаметру зубчатым венцом для зацепления со стартером. Устройство маховика сплошной конструкции - очень простое. Ступица маховика жестко закрепляется на фланце коленвала, если точнее, то прикручивается болтами. Внешняя поверхность маховика (противоположная той, что обращена к двигателю) соприкасается с ведомым диском сцепления, передавая ему крутящий момент с двигателя.</p>\r\n\r\n<p><img alt="Маховик на снятом двигателе. Изображение zaglohla.ru" src="/ckeditor_assets/pictures/30/content_mahovikk.jpg" style="height:533px; width:794px" /></p>\r\n\r\n<p>Как мы уже говорили выше, одна из задач маховика - гасить крутильные колебания, возникающие на коленвале. Обычный монолитный маховик с этой задачей справляется плохо. Он, за счет своей значительной массы, может уменьшать амплитуду колебаний и их частоту, чтобы не допустить резонанса. Крутильные колебания в автомобилях с классическими маховиками полностью гасятся за счет трения ведущего и ведомого диска (преобразуясь в теплоту), а резонансные частоты гасятся за счет демпферных пружин ведомых дисков (подробнее об их устройстве читайте в соответствующей статье).</p>\r\n\r\n<p><img alt="Венец маховика от ВАЗ-2101. Венец с износившимися зубьями на некоторых автомобилях (в основном - старых) можно поменять отдельно." src="/ckeditor_assets/pictures/16/content_mahovik-venets.jpg" style="height:428px; width:590px" /></p>\r\n\r\n<p>До тех пор, пока автопроизводители всерьез не озаботились повышением эффективности двигателей внутреннего сгорания (то есть снижением расхода топлива и вредных выхлопов), система с классическим маховиком работала идеально. Демпферные пружины ведомых дисков изнашивались очень медленно - гораздо быстрее сцепление &quot;умирало&quot; из-за стершегося феродо, то есть фрикционного слоя.</p>\r\n\r\n<p>Затем стало понятно, что для того, чтобы вращать тяжелый чугунный диск, двигатель тратит достаточно много энергии. В 80-х годах конструкторы стали экспериментировать с облегчением маховика, но тогда встала проблема с гашением колебаний. В 1985-м для этих целей был изобретен принципиально новый двумассовый маховик. Пока, впрочем, классическую конструкцию полностью он так и не вытеснил.</p>\r\n	2014-04-01 10:32:40.814292	2014-11-30 16:12:46.8309	t
1	0	АвтоWiki	<p><img alt="" src="/ckeditor_assets/pictures/31/content_rem.jpg" style="height:397px; width:800px" /></p>\r\n\r\n<p><span style="font-size:12px">&nbsp; &nbsp; В разделе <strong>АвтоВики</strong>&nbsp;вы можете найти статьи, где доступным языком описана конструкция и принцип работы деталей и узлов автомобиля. На момент запуска проекта наша энциклопедия не доделана в полной мере, и постоянно дорабатывается.</span></p>\r\n\r\n<p><span style="font-size:12px">&nbsp; &nbsp; Если вы готовы помочь нам в написании статей, пишите на wiki@zaglohla.ru! Мы готовы платить за интересные, содержательные и понятные широкому кругу читателей статьи, а также иллюстрации и фотографии.</span></p>\r\n	2014-03-20 13:01:18.623658	2014-11-30 16:17:33.916049	t
9	6	Двухмассовый маховик (ведущий диск сцепления)	<p><img alt="Двухмассовый маховик LUK для Volkswagen Transporter T4 2.5D" src="/ckeditor_assets/pictures/19/content_2mass_mahovik_3.jpg" style="height:500px; width:500px" /></p>\r\n\r\n<p><strong>Двухмассовый маховик</strong></p>\r\n\r\n<p>Как известно, классический маховик - это большой и тяжелый чугунный диск, который передает крутящий момент с мотора и выступает ведущим диском сцепления, а к тому же еще и шестерней для раскрутки коленвала от стартера при запуске. Большой вес маховика нужен для того, чтобы гасить крутильные колебания коленвала. Коленвал, как мы знаем, преобразует возвратно-поступательные движения поршней во вращательные. Но толчки никуда не деваются. Классический монолитный маховик частично гасил их своим весом, а полностью от них избавлялись с помощью демпферных пружин сцепления и силы трения между дисками.</p>\r\n\r\n<p>Но тяжелый чугунный маховик - это потери мощности для двигателя и увеличение расхода топлива. Чтобы эффективно гасить колебания и не терять при этом мощность, и был изобретен двухмассовый маховик. С 1985 года, когда он появился впервые, конструкторы так и не смогли избавить его от основного недостатка - ограниченного ресурса и сложности обслуживания. Поэтому двухмассовый маховик до сих пор (по состоянию на 2014 год) не вытеснил классический монолитный. Но надежность и долговечность автомобиля волнуют производителей всё меньше, а расход топлива всё больше, поэтому в будущем, вероятно, двухмассовый маховик станет единственно возможным.</p>\r\n\r\n<p>Иногда в литературе (в основном - западного происхождения) двухмассовый маховик обозначают аббревиатурой ZMS. Расшифровывается она как Zweimassenschwungrad (&quot;двухмассовый маховик&quot; на немецком языке).</p>\r\n\r\n<p><img alt="Сравнительная диаграмма резонансных колебаний двигателя, которые передаются на трансмиссию. Из нее видно, насколько эффективен в плане гашения этих колебаний двухмассовый маховик (здесь - ДММ). Изображение фирмы ZF с сайта dpgo.ru" src="/ckeditor_assets/pictures/20/content_2mass-mah4.jpg" style="height:424px; width:600px" /></p>\r\n\r\n<p>Итак, почему маховик двухмассовый? Элементарно! Потому что у него две массы - первичная и вторичная. Массами в данном случае называются две основные составные части - металлические диски сложной формы.</p>\r\n\r\n<p>Первичная масса жестко крепится к фланцу коленвала болтами, как и классический монолитный маховик. На внешний диаметр первичной массы напрессован (или приварен) и зубчатый венец для связи со стартером. По внутреннему диаметру первичной массы проходит сплошной желоб, в который уложены дуговые пружины и залито смазочное масло Желоб еще иногда называют пружинным каналом. Чтобы внутрь него не попадала пыль, он герметично закрыт кожухом (иначе - крышкой) первичной массы.</p>\r\n\r\n<p>На первичной массе закреплен подшипник, на котором свободно вращается вторичная масса. Вторичная масса выполняет функцию ведущего диска сцепления, то есть она трется о его ведомый диск и, соответственно, передает на трансмиссию крутящий момент с двигателя. На внешнем диаметре вторичной массы есть крепежнеые отверстия для прикручивания к маховику корзины сцепления, а ближе к центру - вентиляционные отверстия для охлаждения. Когда вторичная масса маховика трется о ведомый диск сцепления, она разогревается весьма значительно.</p>\r\n\r\n<p><img alt="Двухмассовый маховик в разрезе. 1) Главный корпус маховика, 2) Пакет пружин, 3) Планетарная шестерня, 4) Подшипник радиальный, 5) Разделительный ползун пакетов пружин, 6) Упор пакета пружины, 7) Кожух отверстия для нагнетания смазки, 8) Подшипник осевой, 9) Отверстие для стопорного штифта, 10) Вспомогательный корпус маховика." src="/ckeditor_assets/pictures/18/content_2mass_mahovik-2.jpg" style="height:435px; width:500px" /></p>\r\n\r\n<p>Осталось только понять, как передается момент с первичной на вторичную массу и зачем тут нужны пружины?</p>\r\n\r\n<p>Секрет в том, что ко вторичной массе жестко прикручивается фланец с двумя выступами. Он работает внутри кожуха первичной массы, а выступы расположены аккурат в промежутках между пружинами первичной массы. Соответственно, когда первичная масса вращается вместе с коленвалом, то пружины упираются в выступы фланца. Они двигают фланец вместе со вторичной массой но, сжимаясь, гасят крутильные колебания.</p>\r\n\r\n<p>3D-анимация устройства двухмассового маховика:</p>\r\n\r\n<p><iframe frameborder="0" height="315" src="//www.youtube.com/embed/YnaXB8q3uzQ" width="420"></iframe></p>\r\n\r\n<p>Еще одно, более подробное видео об устройстве двухмассового маховика и смысла его работы:</p>\r\n\r\n<p><iframe frameborder="0" height="315" src="//www.youtube.com/embed/R4Zkw8Wyi-s" width="420"></iframe></p>\r\n\r\n<p>Конструкция двухмассового маховика с 1985 года, разумеется постепенно изменялась, хотя базовый принцип действия остается неизменным. С чем поработали конструкторы за эти годы и чего добились?</p>\r\n\r\n<p>Во-первых, заменили со временем шариковый подшипник качения на более компактный подшипник скольжения, так что в современных ZMS вы встретите только его.</p>\r\n\r\n<p>Во-вторых, много экспериментов было с конструкцией фланца. По ходу развития он &quot;научился&quot; самостоятельно гасить колебания - в него внедрили дополнительные демпферные пружины (как на ведомых дисках сцепления).</p>\r\n\r\n<p>В-третьих, в двухмассовый маховик внедрили составные пружины. Одноуровневые параллельные пружины - это две пружины одинаковой длины, вставленные одна в другую. В двухуровневых параллельных пружинах внутренняя - более жесткая и короткая. В работу она вступает только если крутящий момент на коленвале очень высокий и пружина сжимается значительно. В трехуровневых параллельных пружинах на каждую внешнюю приходится по две более короткие и жесткие внутренние разной длины.</p>\r\n\r\n<p><img alt="Модернизированные версии двухмассовых маховиков от фирмы ZF. Изображение с сайта dpgo.ru" src="/ckeditor_assets/pictures/21/content_2mass-mah6.jpg" style="height:425px; width:600px" /></p>\r\n\r\n<p><img alt="Еще две модернизированные версии двухмассовых маховиков от фирмы ZF. Изображение с сайта dpgo.ru" src="/ckeditor_assets/pictures/22/content_2mass-mah5.jpg" style="height:431px; width:600px" /></p>\r\n\r\n<p>В-четвертых, в современные двухмассовые маховики внедрили дополнительные рабочие фрикционные диски, расположенные между первичной массой и фланцем. Он может вращаться на небольшой угол. Соответственно, если крутящий момент невысокий, крутильные колебания слабые, пружины сжимаются несильно, то фрикционный диск крутится незначительно. А если момент высокий, пружины сжимаются сильно, то и диск упирается в ограничитель и начинает тереться о фланец. Таким образом, крутильные колебания, за счет трения, дополнительно гасятся.</p>\r\n\r\n<p><strong>Поломка двухмассового маховика</strong></p>\r\n\r\n<p>Сложная, по сравнению с чугунной болванкой, конструкция двухмассового маховика обуславливает его относительно короткий ресурс. Уже к 100 тысячам километров пробега от нагрузки могут разрушиться пружины и &quot;уши&quot; фланца&nbsp;вторичной массы маховика, которые взаимодействуют друг с другом. Особенно характерно это для дизельных двигателей с высоким крутящим моментом.&nbsp;</p>\r\n\r\n<p><img alt="Вскрытый двухмассовый маховик от Kia Sorento 2.5D (170 hp) с разрушенными пружинами. Изображение с форума sorento.kia-club.ru" src="/ckeditor_assets/pictures/17/content_2mass_mahovik.jpg" style="height:450px; width:600px" /></p>\r\n\r\n<p>Ремонтом двухмассовых маховиков занимаются редко - чаще их меняют в сборе. Хотя, в целом, здесь нет ничего сложного - достаточно изготовить подходящие по жесткости пружины и металлический фланец. Потребуется немного инженерного &quot;творчества&quot;, но если учесть, что новый оригинальный двухмассовый маховик может обойтись в 800-1500 долларов, а ремонт - примерно в 7-8 раз дешевле, то затея может иметь смысл.&nbsp;Описание процесса восстановления маховика вы сможете найти в соответствующей ветке форума sorento.kia-club.ru.&nbsp;</p>\r\n	2014-11-23 18:49:15.78093	2014-11-23 19:13:45.719239	t
